epoch,tau_phys_mean,tau_phys_median,tau_phys_min,tau_phys_max,tau_phys_count
1,1.6850054264068604,1.6853467226028442,1.628722071647644,1.8650319576263428,488.0
2,1.6850407123565674,1.6853084564208984,1.639338731765747,1.8650319576263428,488.0
3,1.684981107711792,1.6863024234771729,1.6286226511001587,1.8650319576263428,488.0
4,1.6848210096359253,1.6856491565704346,1.639338731765747,1.8650319576263428,488.0
5,1.6849987506866455,1.6843209266662598,1.6373631954193115,1.8650319576263428,488.0
6,1.6851742267608643,1.6860382556915283,1.6383211612701416,1.8650319576263428,488.0
7,1.6852484941482544,1.6851959228515625,1.633866786956787,1.8650319576263428,488.0
8,1.6850329637527466,1.6845147609710693,1.639338731765747,1.8650319576263428,488.0
9,1.6851407289505005,1.6860382556915283,1.6330422163009644,1.8650319576263428,488.0
10,1.6848721504211426,1.6851716041564941,1.6220308542251587,1.8650319576263428,488.0
11,1.6853947639465332,1.6856071949005127,1.639338731765747,1.8650319576263428,488.0
12,1.6850190162658691,1.6853265762329102,1.639338731765747,1.8650319576263428,488.0
13,1.6849614381790161,1.6856048107147217,1.639338731765747,1.8650319576263428,488.0
14,1.6852052211761475,1.6862343549728394,1.6332932710647583,1.8650319576263428,488.0
15,1.685066819190979,1.6844183206558228,1.6361885070800781,1.8650319576263428,488.0
16,1.684853196144104,1.6844197511672974,1.6251318454742432,1.8650319576263428,488.0
17,1.684792160987854,1.6847529411315918,1.639338731765747,1.8650319576263428,488.0
18,1.684828519821167,1.6847693920135498,1.639338731765747,1.8650319576263428,488.0
19,1.6849323511123657,1.6845871210098267,1.6311960220336914,1.8650319576263428,488.0
20,1.6849392652511597,1.685258388519287,1.639338731765747,1.8650319576263428,488.0
21,1.6851445436477661,1.6863024234771729,1.6359955072402954,1.8650319576263428,488.0
22,1.6849586963653564,1.6857495307922363,1.6313564777374268,1.8650319576263428,488.0
23,1.6851842403411865,1.6849677562713623,1.638610601425171,1.8650319576263428,488.0
24,1.6848593950271606,1.685744285583496,1.639338731765747,1.8650319576263428,488.0
25,1.6852526664733887,1.6855978965759277,1.639338731765747,1.8650319576263428,488.0
26,1.6850268840789795,1.6848948001861572,1.6311118602752686,1.8650319576263428,488.0
27,1.6848094463348389,1.6845706701278687,1.622258186340332,1.8650319576263428,488.0
28,1.6848199367523193,1.6856348514556885,1.6208131313323975,1.8650319576263428,488.0
29,1.6851403713226318,1.685352087020874,1.639338731765747,1.8650319576263428,488.0
30,1.6849462985992432,1.6848666667938232,1.638837218284607,1.8650319576263428,488.0
31,1.684963345527649,1.684366226196289,1.6362407207489014,1.8650319576263428,488.0
32,1.68515944480896,1.6846615076065063,1.6270877122879028,1.8650319576263428,488.0
33,1.6850651502609253,1.6849751472473145,1.6352214813232422,1.8650319576263428,488.0
34,1.685025691986084,1.6853656768798828,1.6372385025024414,1.8650319576263428,488.0
35,1.6850053071975708,1.685788869857788,1.6349146366119385,1.8650319576263428,488.0
36,1.6849873065948486,1.6849805116653442,1.6304733753204346,1.8650319576263428,488.0
37,1.684767723083496,1.6854937076568604,1.6299488544464111,1.8650319576263428,488.0
38,1.6851134300231934,1.6847693920135498,1.625584602355957,1.8650319576263428,488.0
39,1.6848407983779907,1.6845492124557495,1.6330801248550415,1.8650319576263428,488.0
40,1.6847461462020874,1.6848974227905273,1.637204885482788,1.8650319576263428,488.0
41,1.6849557161331177,1.6860382556915283,1.6264512538909912,1.8650319576263428,488.0
42,1.6850045919418335,1.6849288940429688,1.6240342855453491,1.8650319576263428,488.0
43,1.6850361824035645,1.6848081350326538,1.6237852573394775,1.8650319576263428,488.0
44,1.6849883794784546,1.6844980716705322,1.6267986297607422,1.8650319576263428,488.0
45,1.6847517490386963,1.6855791807174683,1.6352453231811523,1.8650319576263428,488.0
46,1.6849018335342407,1.6855849027633667,1.625756025314331,1.8650319576263428,488.0
47,1.6851451396942139,1.6855897903442383,1.6238172054290771,1.8650319576263428,488.0
48,1.6848973035812378,1.6847693920135498,1.639338731765747,1.8650319576263428,488.0
49,1.6847001314163208,1.6850271224975586,1.6360259056091309,1.8650319576263428,488.0
50,1.6852526664733887,1.6856048107147217,1.6266746520996094,1.8650319576263428,488.0
51,1.684940218925476,1.6856471300125122,1.630229115486145,1.8650319576263428,488.0
52,1.6848347187042236,1.6847569942474365,1.6333043575286865,1.8650319576263428,488.0
53,1.6849572658538818,1.6853320598602295,1.6258602142333984,1.8650319576263428,488.0
54,1.6849989891052246,1.6847529411315918,1.639338731765747,1.8650319576263428,488.0
55,1.685264229774475,1.6853339672088623,1.6374115943908691,1.8650319576263428,488.0
56,1.6850093603134155,1.6860737800598145,1.639338731765747,1.8650319576263428,488.0
57,1.6848506927490234,1.6847832202911377,1.6195077896118164,1.8650319576263428,488.0
58,1.6851171255111694,1.6854125261306763,1.6338059902191162,1.8650319576263428,488.0
59,1.6850389242172241,1.6861083507537842,1.6367621421813965,1.8650319576263428,488.0
60,1.684915542602539,1.6844420433044434,1.62877357006073,1.8650319576263428,488.0
61,1.6849801540374756,1.6852967739105225,1.630361557006836,1.8650319576263428,488.0
62,1.68476402759552,1.6856048107147217,1.6380200386047363,1.8650319576263428,488.0
63,1.6850873231887817,1.6852072477340698,1.6230247020721436,1.8650319576263428,488.0
64,1.6848403215408325,1.6847693920135498,1.6302671432495117,1.8650319576263428,488.0
65,1.6848241090774536,1.6852715015411377,1.622101068496704,1.8650319576263428,488.0
66,1.6850663423538208,1.685323715209961,1.6341032981872559,1.8650319576263428,488.0
67,1.6850793361663818,1.6846117973327637,1.6339999437332153,1.8650319576263428,488.0
68,1.684783697128296,1.6845635175704956,1.628798484802246,1.8650319576263428,488.0
69,1.6849390268325806,1.6845871210098267,1.634947657585144,1.8650319576263428,488.0
70,1.684800148010254,1.6854462623596191,1.635195255279541,1.8650319576263428,488.0
71,1.685460090637207,1.6854453086853027,1.639338731765747,1.8650319576263428,488.0
72,1.6852127313613892,1.6856858730316162,1.6251394748687744,1.8650319576263428,488.0
73,1.6848520040512085,1.6854960918426514,1.632507085800171,1.8650319576263428,488.0
74,1.6850237846374512,1.6838879585266113,1.63572096824646,1.8650319576263428,488.0
75,1.684985876083374,1.6852455139160156,1.6323413848876953,1.8650319576263428,488.0
76,1.6849559545516968,1.6856048107147217,1.6269819736480713,1.8650319576263428,488.0
77,1.685024619102478,1.6850740909576416,1.6255724430084229,1.8650319576263428,488.0
78,1.685045838356018,1.6853010654449463,1.6316766738891602,1.8650319576263428,488.0
79,1.6847636699676514,1.6844619512557983,1.6291347742080688,1.8650319576263428,488.0
80,1.6851085424423218,1.6858322620391846,1.639338731765747,1.8650319576263428,488.0
81,1.685065507888794,1.6857879161834717,1.6360430717468262,1.8650319576263428,488.0
82,1.6850321292877197,1.6855647563934326,1.6307604312896729,1.8650319576263428,488.0
83,1.684932827949524,1.6844420433044434,1.6084704399108887,1.8650319576263428,488.0
84,1.685128927230835,1.6855814456939697,1.639338731765747,1.8650319576263428,488.0
85,1.684775471687317,1.6852214336395264,1.6353387832641602,1.8650319576263428,488.0
86,1.684844970703125,1.6854491233825684,1.6313543319702148,1.8650319576263428,488.0
87,1.6849110126495361,1.6847693920135498,1.6225557327270508,1.8650319576263428,488.0
