epoch,tau_phys_mean,tau_phys_median,tau_phys_min,tau_phys_max,tau_phys_count
1,0.8566932678222656,0.8565574884414673,0.8361928462982178,0.9162111878395081,488.0
2,0.8567736744880676,0.8568456768989563,0.8361928462982178,0.9162111878395081,488.0
3,0.8567126393318176,0.8564721941947937,0.8361928462982178,0.9162111878395081,488.0
4,0.85665363073349,0.8564766645431519,0.8361928462982178,0.9162111878395081,488.0
5,0.8567208647727966,0.856593906879425,0.8313344717025757,0.9162111878395081,488.0
6,0.8568663001060486,0.8567303419113159,0.8354436755180359,0.9162111878395081,488.0
7,0.8566964864730835,0.8565751910209656,0.834170401096344,0.9162111878395081,488.0
8,0.8567203879356384,0.8564337491989136,0.8361928462982178,0.9162111878395081,488.0
9,0.8566386103630066,0.8564502596855164,0.8361928462982178,0.9162111878395081,488.0
10,0.8566585779190063,0.8565574884414673,0.8361928462982178,0.9162111878395081,488.0
11,0.8568234443664551,0.8566635847091675,0.8361928462982178,0.9162111878395081,488.0
12,0.8566527962684631,0.8565206527709961,0.834895133972168,0.9162111878395081,488.0
13,0.8567183613777161,0.8567684292793274,0.8361928462982178,0.9162111878395081,488.0
14,0.8566657900810242,0.8568766117095947,0.8361928462982178,0.9162111878395081,488.0
15,0.8566967844963074,0.8565323948860168,0.8361928462982178,0.9162111878395081,488.0
16,0.8566811084747314,0.8564214706420898,0.8361928462982178,0.9162111878395081,488.0
17,0.8566431403160095,0.8561596870422363,0.8361928462982178,0.9162111878395081,488.0
18,0.8566924333572388,0.8563290238380432,0.8361928462982178,0.9162111878395081,488.0
19,0.8568223714828491,0.8565574884414673,0.8360373377799988,0.9162111878395081,488.0
20,0.8565955758094788,0.8565206527709961,0.8361928462982178,0.9162111878395081,488.0
21,0.8567141890525818,0.856256902217865,0.8361928462982178,0.9162111878395081,488.0
22,0.8567994832992554,0.8567195534706116,0.8324902057647705,0.9162111878395081,488.0
23,0.8567008376121521,0.8566123247146606,0.8311655521392822,0.9162111878395081,488.0
24,0.8567807674407959,0.8562925457954407,0.8356808423995972,0.9162111878395081,488.0
25,0.8566968441009521,0.8565455675125122,0.8361928462982178,0.9162111878395081,488.0
26,0.8568035364151001,0.8566611409187317,0.8354591727256775,0.9162111878395081,488.0
27,0.8567274808883667,0.8566995859146118,0.8361928462982178,0.9162111878395081,488.0
28,0.8567373752593994,0.8565574884414673,0.8332370519638062,0.9162111878395081,488.0
29,0.8568186163902283,0.8566904664039612,0.8361928462982178,0.9162111878395081,488.0
30,0.8567588925361633,0.8563528656959534,0.8361928462982178,0.9162111878395081,488.0
31,0.856718122959137,0.8563554286956787,0.8357569575309753,0.9162111878395081,488.0
32,0.8567146062850952,0.8565455675125122,0.8354212045669556,0.9162111878395081,488.0
33,0.8566657900810242,0.8565574884414673,0.8361928462982178,0.9162111878395081,488.0
34,0.8567004799842834,0.8565574884414673,0.8352913856506348,0.9162111878395081,488.0
35,0.8567061424255371,0.8565053939819336,0.8361928462982178,0.9162111878395081,488.0
36,0.8567168712615967,0.8565455675125122,0.8361928462982178,0.9162111878395081,488.0
37,0.856701135635376,0.8566569089889526,0.8361928462982178,0.9162111878395081,488.0
38,0.856740415096283,0.8565574884414673,0.8361928462982178,0.9162111878395081,488.0
39,0.856751561164856,0.8565574884414673,0.8361928462982178,0.9162111878395081,488.0
40,0.8566107749938965,0.8563826680183411,0.8340481519699097,0.9162111878395081,488.0
41,0.8568129539489746,0.8568418025970459,0.8361928462982178,0.9162111878395081,488.0
42,0.8566997051239014,0.8567835688591003,0.8361928462982178,0.9162111878395081,488.0
43,0.856614887714386,0.8566995859146118,0.8361928462982178,0.9162111878395081,488.0
44,0.856837809085846,0.8568688631057739,0.8355132937431335,0.9162111878395081,488.0
